image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,4,0.870203,car,car,True
drive_022,2,3,0.76022,car,car,True
drive_022,3,1,0.878272,car,car,True
drive_022,4,2,0.928765,bus,van,False
drive_022,5,5,0.885045,truck,bus,False
drive_033,2,1,0.989601,bus,van,False
drive_033,3,2,0.855396,truck,bus,False
drive_033,4,11,0.888085,bus,car,False
drive_033,5,12,0.941794,car,van,False
drive_033,6,3,0.89023,car,car,True
drive_033,7,4,0.773864,car,car,True
drive_033,8,9,0.88318,car,car,True
drive_033,13,5,0.930417,car,car,True
drive_033,14,7,0.939983,car,car,True
drive_033,15,8,0.866813,car,car,True
drive_033,16,10,0.822003,car,car,True
drive_033,17,6,0.83861,car,car,True
drive_038,1,2,0.928392,car,car,True
drive_038,2,1,0.968094,car,car,True
drive_038,3,5,0.959312,van,bus,False
drive_038,22,6,0.853046,car,car,True
drive_038,23,12,0.905944,car,car,True
drive_038,24,7,0.830927,car,car,True
drive_038,25,11,0.878394,car,car,True
drive_038,26,8,0.910702,car,car,True
drive_038,27,10,0.869846,car,car,True
drive_038,28,9,0.911968,truck,bus,False
drive_038,29,15,0.896095,van,truck,False
drive_038,30,14,0.823527,car,car,True
drive_038,31,13,0.886053,car,car,True
drive_038,32,17,0.948898,car,car,True
drive_038,33,16,0.847384,car,car,True
drive_038,40,4,0.951382,car,car,True
drive_038,41,3,0.946642,car,car,True
drive_008,1,11,0.932038,car,car,True
drive_008,4,7,0.848559,car,car,True
drive_008,5,13,0.628917,car,car,True
drive_008,7,14,0.865369,car,car,True
drive_008,8,15,0.177866,car,car,True
drive_008,17,6,0.883178,car,car,True
drive_008,18,2,0.930316,car,car,True
drive_008,21,1,0.825706,truck,bus,False
drive_008,22,12,0.856185,car,truck,False
drive_008,23,3,0.92381,van,truck,False
drive_008,24,5,0.855299,van,truck,False
drive_008,26,9,0.96811,bus,van,False
drive_008,31,16,0.940391,car,car,True
drive_008,32,4,0.934074,car,car,True
